Date,Hour,Daily Rainfall (mm),Hourly Water Level (meters),Daily Discharge Rate (cubic meters per second),Satellite Data Indicator,Flood Indicator
2023-01-26,11,78.51759613930136,2.2660029834018593,1297.4697169667,6.118310201032214,0
2023-01-23,2,29.214464853521815,1.074111362580037,1366.2797903009878,3.995187845869348,0
2023-04-27,3,80.36720768991145,3.7820515733959836,914.9942335172741,8.736780345607487,0
2023-01-03,1,73.1993941811405,3.403277556842524,254.1834392188544,8.038145451934467,0
2023-03-20,11,35.84657285442726,0.7941477090397335,1731.751865219494,0.16028156455123121,0
2023-02-12,3,3.4388521115218396,4.3304311132194595,300.2471144048299,8.832736014262238,1
2023-02-05,18,80.83973481164611,0.8381200178111394,943.4469635621178,8.903843208552662,0
2023-02-12,9,3.4388521115218396,3.551072686515786,300.2471144048299,0.6144629013078751,0
2023-01-03,0,73.1993941811405,1.5192309883907207,254.1834392188544,3.7546892846650035,0
2023-01-30,23,4.645041271999773,1.1689822748890082,940.8364781480166,3.976844144330547,0
2023-04-10,14,10.789142699330444,4.66872173028539,414.92153623391937,5.727702766869458,1
2023-04-21,12,28.9751452913768,1.2458740091907017,544.9864047600349,1.293806169667009,0
2023-04-04,14,56.127719756949624,4.3052196334545805,1465.6052739217075,5.793134027884609,1
2023-02-18,7,54.67102793432797,1.9690758870979634,404.8789671153302,5.547318032823543,0
2023-01-27,8,19.967378215835975,2.900574913893447,571.9288566120943,9.581180089194337,0
2023-02-25,18,92.18742350231169,3.460303870713662,309.82054048109507,6.717088592440607,0
2023-03-30,15,88.72127425763266,3.511401183221353,1418.504221969298,3.4206943465755533,0
2023-04-19,10,22.879816549162246,1.5270591357216459,209.6911025277227,8.515814000172373,0
2023-03-01,20,32.53303307632643,1.5659175153851692,1078.510753448474,1.3925407078470398,0
2023-01-02,1,95.07143064099162,4.587196486849941,1378.4561703363515,8.213883629006943,1
2023-05-04,13,11.005192452767677,2.5261441076430065,1754.00123591183,8.031705116327311,0
2023-01-10,3,70.80725777960456,2.2932713047881803,480.5358339484892,1.6972842857692316,0
